model,metric,mean,ci_lower,ci_upper,std,n_seeds
ft_transformer,auroc,0.6073134381957912,0.6073134381957912,0.6073134381957912,0.0,1
ft_transformer,auprc,0.376218967503516,0.376218967503516,0.376218967503516,0.0,1
ft_transformer,brier_score,0.24617415943693322,0.24617415943693322,0.24617415943693322,0.0,1
ft_transformer,ece,0.196182375172774,0.196182375172774,0.196182375172774,0.0,1
ft_transformer,prevalence,0.272,0.272,0.272,0.0,1
ft_transformer,n,750.0,750.0,750.0,0.0,1
ft_transformer,t0.5_sensitivity,0.5637254901960784,0.5637254901960784,0.5637254901960784,0.0,1
ft_transformer,t0.5_specificity,0.6098901098901099,0.6098901098901099,0.6098901098901099,0.0,1
ft_transformer,t0.5_ppv,0.35060975609756095,0.35060975609756095,0.35060975609756095,0.0,1
ft_transformer,t0.5_npv,0.7890995260663507,0.7890995260663507,0.7890995260663507,0.0,1
ft_transformer,t0.5_threshold,0.5,0.5,0.5,0.0,1
ft_transformer,t80sp_sensitivity,0.3480392156862745,0.3480392156862745,0.3480392156862745,0.0,1
ft_transformer,t80sp_specificity,0.8021978021978022,0.8021978021978022,0.8021978021978022,0.0,1
ft_transformer,t80sp_ppv,0.39664804469273746,0.39664804469273746,0.39664804469273746,0.0,1
ft_transformer,t80sp_npv,0.7670753064798599,0.7670753064798599,0.7670753064798599,0.0,1
ft_transformer,t80sp_threshold,0.6499199867248535,0.6499199867248535,0.6499199867248535,0.0,1
ft_transformer,fairness_sex_worst_subgroup_auroc,0.5900531748514232,0.5900531748514232,0.5900531748514232,0.0,1
ft_transformer,fairness_sex_mean_subgroup_auroc,0.6114780380378195,0.6114780380378195,0.6114780380378195,0.0,1
ft_transformer,fairness_sex_demographic_parity_gap,0.04332114525199393,0.04332114525199393,0.04332114525199393,0.0,1
ft_transformer,fairness_sex_equalized_odds_tpr_gap,0.1361016121152907,0.1361016121152907,0.1361016121152907,0.0,1
ft_transformer,fairness_sex_equalized_odds_fpr_gap,0.025287232900247036,0.025287232900247036,0.025287232900247036,0.0,1
ft_transformer,fairness_race_worst_subgroup_auroc,0.5,0.5,0.5,0.0,1
ft_transformer,fairness_race_mean_subgroup_auroc,0.5775934139291521,0.5775934139291521,0.5775934139291521,0.0,1
ft_transformer,fairness_race_demographic_parity_gap,0.13214285714285715,0.13214285714285715,0.13214285714285715,0.0,1
ft_transformer,fairness_race_equalized_odds_tpr_gap,0.36689930209371885,0.36689930209371885,0.36689930209371885,0.0,1
ft_transformer,fairness_race_equalized_odds_fpr_gap,0.17466307277628024,0.17466307277628024,0.17466307277628024,0.0,1
ft_transformer,fairness_age_group_worst_subgroup_auroc,0.580639097744361,0.580639097744361,0.580639097744361,0.0,1
ft_transformer,fairness_age_group_mean_subgroup_auroc,0.5868833911213018,0.5868833911213018,0.5868833911213018,0.0,1
ft_transformer,fairness_age_group_demographic_parity_gap,0.11301184449235854,0.11301184449235854,0.11301184449235854,0.0,1
ft_transformer,fairness_age_group_equalized_odds_tpr_gap,0.37007607776838547,0.37007607776838547,0.37007607776838547,0.0,1
ft_transformer,fairness_age_group_equalized_odds_fpr_gap,0.2670985840235106,0.2670985840235106,0.2670985840235106,0.0,1
ft_transformer,seed,42.0,42.0,42.0,0.0,1
lightgbm,auroc,0.5906503627091862,0.5906503627091862,0.5906503627091862,0.0,1
lightgbm,auprc,0.3492775588257524,0.3492775588257524,0.3492775588257524,0.0,1
lightgbm,brier_score,0.23198203658031452,0.23198203658031452,0.23198203658031452,0.0,1
